22:59:27.878 [main] INFO  Assessment.API.e2e.ApiPositiveTests - ************** Health Check **************
22:59:28.063 [main] INFO  Assessment.API.e2e.ApiPositiveTests - ************** Health Check is done **************
22:59:28.079 [main] INFO  Assessment.API.e2e.ApiPositiveTests - ************** Creating Booking **************
22:59:28.476 [main] INFO  Assessment.API.e2e.ApiPositiveTests - ************** Booking is created **************
22:59:28.634 [main] INFO  Assessment.API.e2e.ApiNegativeTests - ************** Creating Booking with missing fields **************
22:59:28.795 [main] INFO  Assessment.API.e2e.ApiNegativeTests - ************** Finished creating booking with missing fields **************
22:59:28.800 [main] INFO  Assessment.API.e2e.ApiNegativeTests - ************** Creating booking with invalid fields **************
22:59:28.941 [main] INFO  Assessment.API.e2e.ApiNegativeTests - ************** Finished creating booking with invalid fields **************
22:59:28.944 [main] INFO  Assessment.API.e2e.ApiPositiveTests - ************** Getting booking **************
22:59:29.090 [main] INFO  Assessment.API.e2e.ApiPositiveTests - ************** Booking is displayed **************
22:59:29.095 [main] INFO  Assessment.API.e2e.ApiPositiveTests - ************** Getting all bookings **************
22:59:29.426 [main] INFO  Assessment.API.e2e.ApiPositiveTests - ************** All bookings are displayed **************
22:59:29.431 [main] INFO  Assessment.API.e2e.ApiNegativeTests - ************** Getting booking with invalid id **************
22:59:29.575 [main] INFO  Assessment.API.e2e.ApiNegativeTests - ************** Finished getting booking with invalid id **************
22:59:29.581 [main] INFO  Assessment.API.e2e.ApiNegativeTests - ************** Getting booking ids with invalid date filter **************
22:59:29.750 [main] INFO  Assessment.API.e2e.ApiNegativeTests - ************** Finished getting booking ids with invalid date filter **************
22:59:29.755 [main] INFO  Assessment.API.e2e.ApiPositiveTests - ************** Getting booking with name filters **************
22:59:29.898 [main] INFO  Assessment.API.e2e.ApiPositiveTests - ************** Bookings with name filters are displayed **************
22:59:29.902 [main] INFO  Assessment.API.e2e.ApiPositiveTests - ************** Getting booking with date filters **************
22:59:30.054 [main] INFO  Assessment.API.e2e.ApiPositiveTests - ************** Getting booking with date filters **************
22:59:30.203 [main] INFO  Assessment.API.e2e.ApiPositiveTests - ************** Getting booking with date filters **************
22:59:30.374 [main] INFO  Assessment.API.e2e.ApiPositiveTests - ************** Getting booking with date filters **************
22:59:30.535 [main] INFO  Assessment.API.e2e.ApiNegativeTests - ************** Updating non existing booking **************
22:59:30.689 [main] INFO  Assessment.API.e2e.ApiNegativeTests - ************** Finished updating non existing booking **************
22:59:30.693 [main] INFO  Assessment.API.e2e.ApiPositiveTests - ************** Updating booking **************
